rank,full_name,position_abbreviation,school_name,age,height,weight,bats,throws
1,Grady Emerson,SS,Fort Worth Christian (TX),18,6-3,185,L,R
2,Roch Cholowsky,SS,UCLA,21,6-2,202,R,R
3,Vahn Lackey,C,Georgia Tech,20,6-2,215,R,R
4,Jackson Flora,RHP,UC Santa Barbara,21,6-5,205,R,R
5,Jacob Lombard,SS,Gulliver Prep (FL),18,6-3,195,R,R
6,Eric Booth Jr.,OF,Oak Grove (MS),18,6-0,207,L,L
7,Drew Burress,OF,Georgia Tech,21,5-9,185,R,R
8,Gio Rojas,LHP,Stoneman Douglas (FL),19,6-4,195,R,L
9,Justin Lebron,SS,Alabama,21,6-2,190,R,R
10,Tyler Bell,SS,Kentucky,21,6-1,190,S,R
11,Ryder Helfrick,C,Arkansas,21,6-1,210,R,R
12,Derek Curiel,OF,Louisiana State,21,6-2,192,L,L
13,Trevor Condon,OF,Etowah (GA),18,5-11,178,L,R
14,Chris Hacopian,2B,Texas A&M,21,6-1,210,R,R
15,Cameron Flukey,RHP,Coastal Carolina,21,6-6,210,R,R
16,Jared Grindlinger,LHP/OF,Huntington Beach (CA),17,6-3,190,L,L
17,Hunter Dietz,LHP,Arkansas,21,6-6,235,R,L
18,Ace Reese,3B,Mississippi State,21,6-4,220,L,R
19,AJ Gracia,OF,Virginia,21,6-3,195,L,L
20,Liam Peterson,RHP,Florida,21,6-5,225,R,R
21,Bo Lowrance,3B,Christ Church Episcopal (SC),18,6-5,200,L,R
22,Sawyer Strosnider,OF,Texas Christian,21,6-2,200,L,L
23,Brody Bumila,LHP,Bishop Feehan (MA),18,6-9,255,L,L
24,Carson Bolemon,LHP,Southside Christian (SC),19,6-4,215,R,L
25,Tegan Kuhns,RHP,Tennessee,21,6-3,189,S,R
26,Cole Carlon,LHP,Arizona State,21,6-5,230,L,L
27,Cole Prosek,3B/C,Magnolia Heights (MS),19,6-1,195,L,R
28,Daniel Jackson,C,Georgia,21,6-2,200,R,R
29,Aiden Robbins,OF,Texas,21,6-2,205,R,R
30,Zion Rose,OF,Louisville,21,6-1,200,R,R
31,Logan Reddemann,RHP,UCLA,21,6-2,185,S,R
32,Aiden Ruiz,SS,The Stony Brook (NY),19,5-10,160,S,S
33,Caden Sorrell,OF,Texas A&M,21,6-3,210,L,L
34,Landon Thome,2B/3B,Nazareth Academy (IL),18,6-0,177,L,R
35,Cade Townsend,RHP,Mississippi,21,6-1,185,R,R
36,Mason Edwards,LHP,Southern California,20,6-2,210,L,L
37,Taj Marchand,SS,James Island (SC),17,6-2,200,R,R
38,Gavin Grahovac,1B,Texas A&M,21,6-3,230,R,R
39,James Clark,SS,St. John Bosco (CA),18,6-1,195,L,R
40,Taylor Rabe,RHP,Mississippi,21,6-5,200,R,R
41,Eric Becker,SS,Virginia,21,6-3,190,L,R
42,Logan Hughes,OF,Texas Tech,21,5-11,197,L,L
43,Coleman Borthwick,RHP,South Walton (FL),18,6-6,245,R,R
44,Jack Radel,RHP,Notre Dame,21,6-5,250,R,R
45,Logan Schmidt,LHP,Ganesha (CA),17,6-4,210,L,L
46,Will Brick,C,Christian Brothers (TN),18,6-2,195,R,R
47,Chris Rembert,2B,Auburn,21,5-11,209,R,R
48,Jarren Advincula,2B,Georgia Tech,21,6-2,195,L,R
49,Rocco Maniscalco,SS,Oxford (AL),17,6-2,192,S,R
50,Chase Brunson,OF,Texas Christian,20,6-3,200,R,R
51,Wes Mendes,LHP,Florida State,21,6-1,198,R,L
52,Andrew Williamson,OF,Central Florida,20,6-0,195,L,L
53,Tyler Spangler,SS,De La Salle (CA),18,6-3,195,L,R
54,Archer Horn,SS,St. Ignatius (CA),18,6-2,205,L,R
55,Connor Comeau,SS/3B,Anderson (TX),17,6-4,180,L,R
56,Jensen Hirschkorn,RHP,Kingsburg (CA),18,6-7,205,L,R
57,Kaden Waechter,RHP,Jesuit (FL),18,6-3,190,R,R
58,Ben Blair,RHP,Liberty,21,6-3,200,R,R
59,Jake Brown,OF,Louisiana State,21,6-2,206,L,L
60,Ty Head,OF,North Carolina State,21,6-3,205,L,L
